T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
40,50,0,1.0902916957637234,3.0408820288098894,4.878649476950711,1.9652635822310962,3.946413941774974,1.4431819551369518,3.362754595533171,3.0502937077151877,,,,,,,,0.03799222931263271,0.03767485383297541,0.05454438204981103,,
50,50,0,0.9515757984794893,3.0121162577024787,5.074425657452071,2.0565449023016074,3.904101499630957,1.336707976508976,3.39552110470981,5.348265178683159,,,,,,,,0.03482765422486252,0.034558680975056204,0.04994725580082132,,
60,50,0,1.0154854033270153,2.9836740588916233,4.959351527048307,1.9776214544496233,4.005060389962222,1.4057404101446855,3.405049224963392,3.7212644958743586,,,,,,,,0.030274704069578943,0.030195574577088588,0.04448081073839365,,
70,50,0,1.0517046526575888,3.007796035854368,4.893459123160604,1.978565346777125,4.003598544360075,1.4240342932279584,3.4014898698838794,3.871146110177409,,,,,,,,0.027114492382585845,0.027566985857114378,0.04145083088303696,,
80,50,0,1.066959607603411,3.046303228963727,4.853667916775751,2.0219611338905734,4.046366286499158,1.3981093021171156,3.440292083865912,5.077414766675352,,,,,,,,0.02500147478442132,0.02554485294259358,0.03984512117897685,,
90,50,0,1.0309408332971932,3.035845876667848,4.876971175651381,1.9893219539048328,4.064606552900531,1.3866054635189229,3.408996941602636,4.264669615951333,,,,,,,,0.024013820573665877,0.0246328352660307,0.038154099170212785,,
100,50,0,1.0198501000842743,2.990852290239393,4.993358508981415,2.0405484147947512,4.025669786296577,1.4357141653150085,3.409767290815153,4.381461732357598,,,,,,,,0.02340150610504463,0.023253974368057918,0.037362631648370136,,
10,60,0,1.0611303569128325,3.0808838460632435,4.867614868866166,1.9898203863019943,4.084760808419314,1.436188924633849,3.4524062390145147,1.8553870143136288,,,,,,,,0.07154749330745695,0.06930071436036418,0.0931036802154556,,
20,60,0,1.0557428908716406,3.0479338998714787,4.985670393091786,2.009718235889632,3.918342882608341,1.3869912571857812,3.375176549399294,4.007183324973889,,,,,,,,0.04886933350145157,0.048668767814677306,0.07207994381976099,,
30,60,0,0.9389551054746992,3.016149777374892,4.994274214860474,1.9992380531185827,3.9658261340229193,1.3616235148884583,3.439209126618847,3.714577496035411,,,,,,,,0.03879965689858523,0.03959934904669595,0.055006801014763254,,
