r,T,N,sim,beta_interactive.1,beta_interactive.2,beta_interactive.3,beta_interactive.4,beta_interactive.5,beta_within.1,beta_within.2,beta_within.3,beta_within.4,beta_within.5,sde_interactive.1,sde_interactive.2,sde_interactive.3,sde_interactive.4,sde_interactive.5,sde_within.1,sde_within.2,sde_within.3,sde_within.4,sde_within.5
4,50,50,0,0.9934456050168674,2.956151574783663,5.024981912676081,2.0420209222322887,3.947659059316333,1.3354083471390268,3.283974705050971,3.626107078252405,,,1.5991378129896003,1.6435147011014337,2.741524532291941,1.5073409926504537,1.7780516419171388,0.03542179894039648,0.03463318479619149,0.05750150040032771,,
4,50,50,1,0.969431573910362,3.098108658289818,4.956488140093741,1.9645427046701371,4.009036597896067,1.319340466062152,3.4067905894869748,4.105132227347402,,,1.725473088896972,1.7612659197137466,3.115379300857129,1.8070151488519752,1.7154999838786447,0.03407321687711019,0.034166384523332885,0.05380129365363903,,
4,50,50,2,0.9826955780688649,3.0607086716879395,4.962576193453797,2.0905956917794137,3.997266031117629,1.3502217603882447,3.3942714385419865,3.712190270036179,,,1.5498487797680793,1.5519798356652288,2.8858809742935407,1.5804439501550445,1.5863432144983116,0.03465451794722649,0.03371486255452509,0.05473668590307328,,
4,50,50,3,1.0371076021970325,3.0420133065598445,4.923241654881208,2.014269122570885,4.023838154790734,1.4193665838180947,3.392976487209114,4.147012381492537,,,1.6998995888670616,1.6849841674061863,3.1796544840130947,1.5975635280822111,1.8928482206900814,0.033827995309533294,0.03313122070259328,0.045546322587648534,,
4,50,50,4,1.1781549109955667,3.168559827662423,4.108570772546795,2.04480627415642,4.074055617641273,1.4579013436241413,3.426321398000196,3.5718867874343667,,,1.917176516480819,1.8482189638711146,7.126473877514382,2.4535493410189564,2.292110592047894,0.03292002732251618,0.03227156543601906,0.04786119732699007,,
4,50,50,5,1.107756521780973,3.073998857397903,4.744377532069607,1.9658562813996299,4.01190520806805,1.4509181431321563,3.396044378344591,4.416754573483436,,,1.542928779206612,1.6060513345790415,3.062025367233811,1.6613547435895883,1.765619788528107,0.032802338715537255,0.033207964339388794,0.054366143648141456,,
4,50,50,6,1.0271949113010848,3.006983722283295,4.98127018429967,1.964432537989702,3.9590406595304053,1.4159006588000744,3.4448954096203437,3.8690161114873405,,,1.6201914747600576,1.6276880100969473,2.8528852174353405,1.568040468138779,2.168617848842136,0.03223992464115139,0.032720234775596976,0.04956106939162416,,
4,50,50,7,1.0776937208078048,3.0432188952594026,4.87722967889722,2.0044358005943077,3.963140174223355,1.4260588898617674,3.426139484911504,4.979724940703649,,,1.6431344998728092,1.6860768661609202,3.04826687814159,1.5967172349887937,1.9238939736204588,0.032985160834566325,0.033745974668516705,0.05376369881486015,,
4,50,50,8,0.9937433797480151,2.997710325495754,4.962739749811126,2.045581794835088,3.971736457647612,1.4370640239161365,3.3829048962133026,5.0989525095724115,,,1.6369874188815268,1.6173213638828992,3.164859977783633,1.6218776467448284,1.7820630891152685,0.033280354243854525,0.032975421621664336,0.05961688885827012,,
4,50,50,9,1.019425136644971,2.9662060060332687,4.986550165704726,2.0343217820558452,3.9716860999531978,1.432317150417236,3.4010822179994884,4.482617331873115,,,1.6940932035676248,1.7054187189907515,2.82078800209978,1.5631415340127517,2.008395333258729,0.03343839913090468,0.03370714100149146,0.052447954969613415,,
5,50,50,0,1.0743303153819879,2.9537350064591297,4.968297559666148,1.9969925631989494,3.929017991481432,1.4438683749746406,3.3521323072797857,3.4613213948583414,,,1.5120286780001997,1.5732440728899928,2.5964875683952946,1.6756728951893611,1.647717065138616,0.03189045710073808,0.032423277652541285,0.05069192571256016,,
5,50,50,1,0.9104490393425855,2.9999308923982753,5.106590958553581,2.0508709910060556,4.0179942583116315,1.288540256078218,3.4101549343241597,5.787678597421151,,,1.5536969132943905,1.542964891617122,2.4610932450761576,1.5812768402050799,1.8307685008247845,0.03406151714773932,0.03421495683561734,0.056357446846009414,,
5,50,50,2,1.0164373993117923,2.9880021227240716,4.996546034821224,2.0608330919479734,4.036503914832635,1.4461324457365263,3.382573967512915,3.3951227970049738,,,1.637823223846564,1.6303576493499983,2.8127324696464377,1.8566869219036939,1.9289979633088306,0.03242632934855826,0.03232555303661454,0.047665021417663114,,
5,50,50,3,0.9253648833949284,3.0083009298443653,5.084538933766598,1.9846163856858792,3.9464756678282775,1.341657936726829,3.4218027268218174,4.746284495838437,,,1.6256182412518936,1.5967778309512726,2.4492257201529237,1.5733022119527083,1.808279525489165,0.033497633400721746,0.034310625216975525,0.05511217471618759,,
5,50,50,4,1.0893949601585597,3.1126307048992286,4.71896719729387,2.029907637675367,3.990122033884333,1.4140414008718953,3.376056394504734,5.368855912513934,,,1.5279528058192873,1.4928526341507569,3.72098166559044,1.8954248877931341,1.9589142226932241,0.03335166624176713,0.033514254358531954,0.05796224042801352,,
5,50,50,5,0.929000612806983,3.0464830035157062,5.075813174811907,2.000252784728433,3.9601375268011383,1.348447140721276,3.436877157027986,4.612658775930556,,,1.5450786623588528,1.5412312615817896,2.670545874675949,1.590011107403538,1.8325724471191946,0.03226629178869304,0.031907166053009604,0.05174908490379144,,
